geometry,file
"BoundingBox(left=-12658966.0, bottom=4523115.0, right=-12645466.0, top=4536615.0)",gridcell_303
"BoundingBox(left=-12645466.0, bottom=4523115.0, right=-12631966.0, top=4536615.0)",gridcell_304
"BoundingBox(left=-12631966.0, bottom=4523115.0, right=-12618466.0, top=4536615.0)",gridcell_305
"BoundingBox(left=-12618466.0, bottom=4523115.0, right=-12604966.0, top=4536615.0)",gridcell_306
"BoundingBox(left=-12604966.0, bottom=4523115.0, right=-12591466.0, top=4536615.0)",gridcell_307
"BoundingBox(left=-13239466.0, bottom=4509615.0, right=-13225966.0, top=4523115.0)",gridcell_312
"BoundingBox(left=-13225966.0, bottom=4509615.0, right=-13212466.0, top=4523115.0)",gridcell_313
"BoundingBox(left=-13212466.0, bottom=4509615.0, right=-13198966.0, top=4523115.0)",gridcell_314
"BoundingBox(left=-13198966.0, bottom=4509615.0, right=-13185466.0, top=4523115.0)",gridcell_315
"BoundingBox(left=-13185466.0, bottom=4509615.0, right=-13171966.0, top=4523115.0)",gridcell_316
"BoundingBox(left=-13171966.0, bottom=4509615.0, right=-13158466.0, top=4523115.0)",gridcell_317
"BoundingBox(left=-13158466.0, bottom=4509615.0, right=-13144966.0, top=4523115.0)",gridcell_318
"BoundingBox(left=-13144966.0, bottom=4509615.0, right=-13131466.0, top=4523115.0)",gridcell_319
"BoundingBox(left=-13131466.0, bottom=4509615.0, right=-13117966.0, top=4523115.0)",gridcell_320
"BoundingBox(left=-13117966.0, bottom=4509615.0, right=-13104466.0, top=4523115.0)",gridcell_321
"BoundingBox(left=-13104466.0, bottom=4509615.0, right=-13090966.0, top=4523115.0)",gridcell_322
"BoundingBox(left=-13090966.0, bottom=4509615.0, right=-13077466.0, top=4523115.0)",gridcell_323
"BoundingBox(left=-13077466.0, bottom=4509615.0, right=-13063966.0, top=4523115.0)",gridcell_324
"BoundingBox(left=-13063966.0, bottom=4509615.0, right=-13050466.0, top=4523115.0)",gridcell_325
"BoundingBox(left=-13050466.0, bottom=4509615.0, right=-13036966.0, top=4523115.0)",gridcell_326
"BoundingBox(left=-13036966.0, bottom=4509615.0, right=-13023466.0, top=4523115.0)",gridcell_327
